symbol,calculation_timestamp,data_quality,trading_days,data_start_date,data_end_date,max_drawdown_3y,max_drawdown_peak_date,max_drawdown_trough_date,max_drawdown_recovery_days,max_drawdown_recovered,current_drawdown,sortino_ratio,calmar_ratio,var_95_daily,cvar_95_daily,var_95_monthly,cvar_95_monthly,beta,upside_capture,downside_capture,volatility_1y,volatility_3y,meets_mdd_threshold
ORLY,2026-01-26T10:31:35.890407,COMPLETE,1254,2021-01-26,2026-01-23,-0.23028836458963503,2022-04-20,2022-05-20,154.0,True,-0.07966982007048776,1.7675,1.4722,-0.02,-0.0315,,,0.44,0.501,0.276,0.2120200402296849,0.22186995484744876,True
OTIS,2026-01-26T10:31:35.893791,COMPLETE,1254,2021-01-26,2026-01-23,-0.29974548819990743,2021-08-30,2022-09-30,299.0,True,-0.12308433734939755,0.9467,0.6887,-0.0207,-0.0321,,,0.715,0.742,0.741,0.23950141210765477,0.219051039605589,True
PCAR,2026-01-26T10:31:35.910707,COMPLETE,1254,2021-01-26,2026-01-23,-0.2793138760880697,2024-03-27,2025-04-08,275.0,True,-0.012625445127873116,1.3339,0.9526,-0.0241,-0.0334,,,0.825,0.875,0.799,0.2925621054386381,0.25529948464769164,True
PEG,2026-01-26T10:31:35.917492,COMPLETE,1254,2021-01-26,2026-01-23,-0.2730308089239642,2022-04-20,2022-10-12,567.0,True,-0.1391180028593424,1.138,0.7708,-0.022,-0.0295,,,0.517,0.499,0.45,0.20823893942541002,0.20371870689468363,True
PFG,2026-01-26T10:31:35.927512,COMPLETE,1254,2021-01-26,2026-01-23,-0.29322775085687275,2022-11-11,2023-05-31,499.0,True,-0.010200759631036482,1.074,0.8669,-0.0275,-0.0401,,,1.04,1.018,0.982,0.2824107969732729,0.2719023410659901,True
PG,2026-01-26T10:31:35.930847,COMPLETE,1254,2021-01-26,2026-01-23,-0.2376844800862591,2022-04-28,2022-10-10,477.0,True,-0.13622504746016226,1.0504,0.7578,-0.0172,-0.0258,,,0.306,0.277,0.245,0.19078534651755213,0.1736122197376044,True
PGR,2026-01-26T10:31:35.934171,COMPLETE,1254,2021-01-26,2026-01-23,-0.29969653760374393,2025-03-17,2025-11-03,,False,-0.24671858432964056,1.3118,0.9586,-0.0214,-0.0353,,,0.411,0.472,0.296,0.2493698885334442,0.2452319315475886,True
PH,2026-01-26T10:31:35.937549,COMPLETE,1254,2021-01-26,2026-01-23,-0.28639580437255147,2021-11-12,2022-06-17,229.0,True,-0.018301262046567672,1.6601,1.2767,-0.0262,-0.0393,,,1.186,1.232,1.083,0.3179106595812455,0.28527591304195477,True
PM,2026-01-26T10:31:35.954143,COMPLETE,1254,2021-01-26,2026-01-23,-0.22783304498269905,2022-02-17,2022-09-30,587.0,True,-0.03995117079125507,1.5905,1.3162,-0.0205,-0.0315,,,0.325,0.4,0.211,0.26843930418771994,0.21603146509816537,True
PNW,2026-01-26T10:31:35.964080,COMPLETE,1254,2021-01-26,2026-01-23,-0.28115459339439364,2021-06-10,2022-10-12,210.0,True,-0.016433678369437543,1.1006,0.7139,-0.0213,-0.0295,,,0.354,0.328,0.267,0.16675816062089055,0.20684654017317752,True
PPL,2026-01-26T10:31:35.977374,COMPLETE,1254,2021-01-26,2026-01-23,-0.2473002159827214,2023-01-11,2023-10-02,226.0,True,-0.03875763206795861,1.2093,0.8387,-0.0194,-0.0271,,,0.413,0.43,0.387,0.17770215208879886,0.18748134210325867,True
ROL,2026-01-26T10:31:36.034504,COMPLETE,1254,2021-01-26,2026-01-23,-0.2666489078316462,2021-09-03,2022-01-27,272.0,True,-0.00647504737839551,0.9955,0.8648,-0.0224,-0.0354,,,0.523,0.605,0.523,0.21665649550041574,0.2427465291527603,True
RSG,2026-01-26T10:31:36.044438,COMPLETE,1254,2021-01-26,2026-01-23,-0.20496894409937888,2025-06-02,2025-11-10,,False,-0.14992773155201372,1.8279,1.3925,-0.0175,-0.0263,,,0.437,0.49,0.339,0.18604392547122556,0.17869473941873623,True
SNA,2026-01-26T10:31:36.077734,COMPLETE,1254,2021-01-26,2026-01-23,-0.23038008094316384,2021-06-01,2022-06-16,209.0,True,-0.008515324898594996,1.3404,1.1891,-0.022,-0.0339,,,0.785,0.827,0.755,0.24523527410378798,0.24267783490146408,True
SO,2026-01-26T10:31:36.086083,COMPLETE,1254,2021-01-26,2026-01-23,-0.23270528683914515,2022-08-19,2022-10-12,569.0,True,-0.11495298756445244,1.5048,0.977,-0.0189,-0.0254,,,0.282,0.301,0.204,0.17160065864717647,0.18325668444664442,True
SPY,2026-01-26T10:31:36.098916,COMPLETE,1254,2021-01-26,2026-01-23,-0.2449489920113302,2022-01-03,2022-10-12,427.0,True,-0.008530410265262602,1.5646,0.9823,-0.0167,-0.0249,,,1.0,1.0,1.0,0.193231142554689,0.17113189837002185,True
SYY,2026-01-26T10:31:36.142426,COMPLETE,1254,2021-01-26,2026-01-23,-0.2730859326840094,2022-04-21,2023-10-12,693.0,True,-0.07196785192401377,0.8112,0.617,-0.022,-0.0324,,,0.609,0.559,0.584,0.21407817148148905,0.22763128076470748,True
TDG,2026-01-26T10:31:36.154246,COMPLETE,1254,2021-01-26,2026-01-23,-0.25008343140182326,2021-11-09,2022-06-16,209.0,True,-0.06419834492763173,1.3995,1.3206,-0.0252,-0.0399,,,0.986,1.029,0.887,0.26719038070828594,0.2770531437079465,True
TJX,2026-01-26T10:31:36.180024,COMPLETE,1254,2021-01-26,2026-01-23,-0.2767634854771784,2022-01-04,2022-05-11,189.0,True,-0.03165876777251179,1.6201,1.0503,-0.0212,-0.0315,,,0.718,0.775,0.667,0.18030601278556432,0.2264909971663833,True
TRV,2026-01-26T10:31:36.261850,COMPLETE,1254,2021-01-26,2026-01-23,-0.1889894592117324,2022-03-25,2022-09-26,57.0,True,-0.054859787639531546,1.3558,1.3666,-0.0212,-0.0313,,,0.495,0.532,0.419,0.21946242482700987,0.22116444841781477,True
TSCO,2026-01-26T10:31:36.265443,COMPLETE,1254,2021-01-26,2026-01-23,-0.2786774628879892,2021-12-31,2022-05-24,265.0,True,-0.12327669124719469,0.9939,0.8724,-0.0282,-0.0402,,,0.775,0.796,0.742,0.27195190041894746,0.277890513248804,True
